created_at,id_text,text
2021-03-19 07:37:37,1372814499816763392,"RT @puty: Sekali lagi: Semua ibu itu full-time mother ya. Mau ibu rumah tangga, kerja kantoran, freelance, mana bisa part-time. Dikata jaga…"
2021-03-18 16:22:24,1372584180328984579,@aelaaaahh @K_DramaIndo Untung ak percaya itu bohongan
2021-03-18 09:43:47,1372483864669552640,@aelaaaahh @ZOO_FESS Tembolokkk
2021-03-18 09:43:30,1372483793517309955,Nongol di grup malah jadi kesel
2021-03-18 03:44:02,1372393331569827840,"@astridptrn @riseeeek Astaghfirullah mulutnya!

Emang iya sek?"
2021-03-18 01:45:05,1372363395438047232,@morningstarcok @subtanyarl Agak curiga jadinyaaa
2021-03-18 01:26:50,1372358801697906692,"@morningstarcok @subtanyarl Jodohku sedang mencari informasi tentang foto dan biodata Yogi Finanda.

HEH YOGI FINANDA SIAPA???"
2021-03-17 23:06:17,1372323431035805698,@denaaanps Jalan kaki juga lumayan
2021-03-17 12:22:28,1372161410399039490,@riseeeek Ini geng mana nihh?
2021-03-17 12:20:32,1372160925705248769,"Disuruh ngoreksi soal mtk PTS ade sendiri, ko tiba-tiba jadi bodoh"
2021-03-17 06:26:11,1372071750997929986,RT @nksthi: Choose your fighter https://t.co/dPlxAp9tuO
2021-03-16 23:42:29,1371970154846769157,"@aelaaaahh Coba cek lagi, tau tau dah bangun lagih, tapi ga ketaone"
2021-03-16 23:39:45,1371969468469944322,"@dzakiyyya @ohmybeautybank Makasii nder, semangat menuju bumilnya💙"
2021-03-16 23:38:08,1371969058267131914,@riseeeek @ohmybeautybank Toel toel ak kan?
2021-03-16 15:15:30,1371842566098972676,"@isnaenilstr Yakali, nyium baunya aja enek wkwk"
2021-03-16 15:13:35,1371842087239450631,"@isnaenilstr Semenjak hamil, apa apa jadi bau bawang dah wkwk"
2021-03-16 15:05:32,1371840061457764361,"@calsivm @ohmybeautybank Aamiin, makasi doanya💙"
2021-03-16 14:59:27,1371838527906979843,@isnaenilstr Kentut gua bau bawang masa😭
2021-03-16 14:55:54,1371837636059537414,@isnaenilstr Bau kentut enak tuh kek apa anjir🙃
2021-03-16 14:53:35,1371837053755916311,@isnaenilstr Ini sekalinya kentut baunya luar biasa banget na
2021-03-16 14:46:35,1371835292987101188,@hejmanik Sang penyelamat
2021-03-16 14:43:38,1371834546694459392,"@oreomcd @ohmybeautybank Pake yg simple karna lama-lama bumil jadi suka gerahh, jadi pakenya gamau yg bikin ribet deh😂"
2021-03-16 14:28:02,1371830623397060612,@pratiwinurel @ohmybeautybank Timaaci tante titiw💞
2021-03-16 13:53:23,1371821902923132933,@galcxyksoo @ohmybeautybank Aku beli di payless ini
2021-03-16 12:48:53,1371805670941499397,@calsivm @ohmybeautybank Timaacii nder😚
2021-03-16 12:48:34,1371805590863769609,@imsawitri @ohmybeautybank Ini beli thrift waktu ituu 😅
2021-03-16 11:35:06,1371787104481505280,@tesayohanaa @ohmybeautybank Sini mari merasakan tendangan debay
2021-03-16 11:25:10,1371784603829104642,@ohmybeautybank Yg penting nyaman aja pokoknya wkwk https://t.co/Nv0oRvGe7v
2021-03-15 13:15:35,1371450003034546180,"@salmiund @ohmybeautybank Salfok sama bajunyaa, boleh tau beli dimana nder?"
2021-03-15 04:24:16,1371316291613593600,"Tolong ya eps5 mouse cepetan tayang, w gamau overthinking mikirin ending eps4. Pusing banget, jadi kek keong w"
2021-03-14 16:05:56,1371130482591633408,Gimana ga makin sayang coba https://t.co/uqs2cUyFbP
2021-03-14 11:29:57,1371061030722269196,@depresionistaa Tendang aja emang yg namanya Andri
2021-03-14 11:12:20,1371056597229735936,Semua aja bikin story lagi makan sushi 🙃
2021-03-14 06:07:57,1370979996467032065,@txtdarigajelas Kita bisa ya kan @ahmadghozizi
2021-03-13 15:05:27,1370752874892783618,@aelaaaahh @bogorfess_ Nunggu anak gua SD dulu deh kayaknya
2021-03-13 14:55:01,1370750248901963783,@bogorfess_ Nih nanti staycation disini aja @aelaaaahh
2021-03-13 11:14:57,1370694867924381700,"@aan__ Aaak ak juga pernah waktu smk pulang udah naik angkot aja, taunya diingetin temen kalo ak bawa motor wkwk"
2021-03-13 03:03:50,1370571273491804163,Seger banget jadi pengen ndusel seharian https://t.co/n4EjXe9WQz
2021-03-12 15:18:34,1370393786388385793,"@Devisnnnn @ranceee_ @AREAJULID Bantu jawab, vagabond kayaknya yg dimaksud sender"
2021-03-12 14:57:32,1370388495739408386,@aelaaaahh Uww posesip😚
2021-03-12 14:57:22,1370388454824026119,@aelaaaahh @nabilafawnur https://t.co/GbrLHX16UM
2021-03-12 11:14:07,1370332271484444673,"@aelaaaahh Hemm anda benar, barusan ga dapet acc😥"
2021-03-12 02:24:57,1370199099857723395,@aelaaaahh Ayo banget gak tuhh
2021-03-11 15:00:35,1370026873686687748,"Bisa bisanyaaa w lagi ngeden berak malah diajak ngobrol, kan ga fokus😭"
2021-03-11 13:04:02,1369997545653432321,YUHUUU https://t.co/IGKOHFdXQU
2021-03-10 14:00:47,1369649437560115201,@aelaaaahh @VICE_ID Pernah kan w digebug sapu sampe patah kan sama si onoh
